Genre,Game,Year,Revenue,Review,Team size,Trailer,UI,Art style,Feature,Scope,Content,Replayability
Auto-Battler,Desktop Defender,2025,~$150K est.,~936,Unknown small indie dev,Shows game widget running in screen corner while user works; novelty hook communicated immediately; unique positioning,Miniature corner widget; extremely minimal by design; functional rather than complex,Tiny pixel art; desktop widget aesthetic; miniature character sprites; secondary to function,Idle auto-battler running in screen corner; passive defence loop; upgrades while you work; non-intrusive design,Infinite idle loop; simple mechanics; desktop integration as primary feature,Limited content by design; idle upgrade path; novelty hook drives initial interest. 'Love having it in the background' ? Steam,Moderate ? idle format encourages background engagement; limited strategic depth by design
Auto-Battler,Pawnbarian,2022,~$150K est.,~438,j4nw (solo developer),Shows chess-piece movement on dungeon grid; puzzle-roguelite hook legible quickly; elegant minimal presentation,Clean dungeon grid; chess notation aesthetic; minimal but elegant; no UI clutter,Minimalist pixel chess aesthetic; simple dungeon tiles; clean icon art; monochrome accents,Chess piece movement roguelite + auto-combat; puzzle dungeon elements; multiple playable chess piece archetypes,1?3hr run; 5 chess piece classes; escalating dungeon floors; concise and well-scoped solo dev project,Multiple chess piece classes with unique movement patterns; dungeon variety. 'Elegant chess-roguelite hybrid' ? Steam,"High ? class variety, dungeon RNG, short run length encourages continuous reruns"
Auto-Battler,Necroking,2023,~$60K est.,~350 est.,Unknown solo/micro dev,Shows necromancer commanding undead army vs waves; dark atmosphere established; accessible pixel presentation,Simple formation view; unit type icons; accessible design; minimal clutter,Dark pixel art; gothic dungeon aesthetic; skeleton and undead unit sprites; atmospheric dark palette,PvE necromancer auto-battler; unit summoning; resource management; undead unit type variety,Small and focused; a few hours of content; limited mode variety,Undead unit roster; dungeon progressions; niche but appreciated by dark-fantasy auto-battler fans,Moderate ? limited content depth restricts long-term return visits
Auto-Battler,Inkbound,2024,Below target (commercial failure),"~3,943","Shiny Shoe (~15?20 people, Monster Train creators)",High production value; ink-storybook world with hybrid roguelite/auto-battler; beautiful art direction,Isometric battle arena; positioning + timing system; mixed feedback on readability in crowded fights,Stylised 2D ink-storybook; warm ink tones; detailed character art; strong visual identity,Hybrid roguelite + positioning auto-battler; co-op 1?4; ability rings system; all MTX stripped Oct 2023 post-backlash,Full roguelite structure; 5 character classes; multiple narrative zones; all monetisation removed post-launch,5 character classes; narrative zones; co-op. Studio stripped all MTX after backlash. Now 75% off permanently ? EOL signal.,Moderate ? solid core loop but active development appears ended; permanent deep discount confirms commercial wind-down
Auto-Battler,Setr's Auto Battler,2022,<$5K est.,~29 (Mixed),erSt (solo developer),Basic screen capture; no production value; no differentiation hook vs existing auto-battlers,Functional but prototype-level visual quality; no visual identity,Basic placeholder pixel art; generic fantasy units; no cohesive art direction,PvP online auto-battler; basic unit synergies; multiplayer lobby (peak 2 concurrent players),Minimal ? small unit roster; single PvP mode; no solo mode,Almost no content; PvP-only with empty servers. 'Dead on arrival' ? Steam reviews. Unplayable as intended.,None ? servers empty; PvP-only design with zero player base
Auto-Battler,Dota Underlords,2019,"F2P (abandoned, declining cosmetics)",Effectively dead (no updates since 2021),"Valve (large studio, small dedicated team)",High production value at launch; Dota IP hook clear; chess-to-Dota adaptation communicated well,Polished battlefield grid; Dota-quality graphics ? but frozen at 2021 state,3D Dota-quality characters; dark fantasy; high visual fidelity; content frozen in 2021,8-player PvP auto-chess; Dota hero units; alliance synergies; underlord system; Season 1 extended to 2031 = permanent abandonment,Full competitive game at launch; content frozen; Season 1 extended to 2031 is Valve-speak for abandoned,Solid content at launch but entirely frozen since 2021. 'Abandoned by Valve' ? current Steam reviews,None effective ? dead playerbase; stale 2021 meta; no active matchmaking
Auto-Battler,AFK Chess - Chess Auto Battler,2023,<$5K est.,<50 est.,Unknown solo dev,Basic screen capture of chess board auto-battle; no differentiation from TFT or existing games,Basic chess grid; functional only; no visual polish,Basic 3D chess pieces with stat overlays; generic placeholder; no visual identity,Auto-chess with chess piece units; basic roguelike run structure; basic economy; nothing standout,Very minimal ? small unit roster; single mode; years in EA with no notable updates,Minimal content; reskin of auto-chess formula with no distinguishing hook,Very low ? no player base; generic systems; no update momentum
Auto-Battler,Auto Dungeon,2024,<$5K est.,<50 est.,Unknown small dev,Basic dungeon auto-battler presentation; no clear visual hook or genre differentiation,Basic dungeon grid; functional but unpolished,Generic pixel dungeon aesthetic; no distinct art direction,Dungeon auto-battler; card collection; creature summoning; standard genre beats with no twist,Minimal content depth; limited unit variety; no meaningful campaign structure,Basic dungeon runs with no distinctive content hook; no community formed around it,Very low ? generic design; no player community; no update cadence
Auto-Battler,Auto Chess (PC),2021,Declining (F2P mobile port),~500?800 (Mixed),Drodo Studio / Dragonest Co. (medium team),Shows chess-board auto-battle; recognisable IP hook; poor PC adaptation visible in UI footage,Mobile-adapted UI on PC; widely criticised for poor PC UX; buttons sized for touchscreen,Mobile-quality 3D hero models on chess board; acceptable but dated; clearly secondary platform,Classic auto-chess; unit synergies; 8-player lobby; recognisable formula ? PC is secondary to mobile,30?45 min match; 60+ chess pieces; multiple synergy categories; PC receives secondary updates,Large unit roster from mobile; PC version gets delayed updates. 'Play TFT instead' ? Steam reviews,Low on PC ? proven formula but inferior to TFT and the mobile version; playerbase migrated
Auto-Battler,Monster Battles: Autobattler,2023,<$3K est.,<30 est.,Unknown solo dev,Basic gameplay capture of monster units fighting; no production value or differentiation,Basic battle arena; functional only; no visual identity,Generic 2D monster sprites; low-budget placeholder; no cohesive art direction,"Basic PvP/PvE auto-battler; monster unit types; basic synergies; nothing distinguishes from 1,500+ competitors",Minimal ? few unit types; single mode; no content roadmap visible,"Almost no content beyond the most basic loop; no differentiation in theme, mechanics, or presentation",None effective ? no community; no content; no reason to return
Auto-Battler,Minion Masters,2018,"F2P peak era, now in death spiral (<185 concurrent players)","~65,176 (legacy F2P)",BetaDwarf (medium indie studio),Polished launch trailer; 1v1 tower combat + auto-battler; strong card collection hook; quality marketing,Clean battlefield with two towers; card hand visible; polished for the era; showing age in 2025,Stylised 3D; colourful fantasy characters; readable minion design; peak F2P auto-battler aesthetic,F2P 1v1/2v2 PvP auto-battler; 200+ cards; daily quests; ranked ladder; multiple master heroes,Matches 5?10 min; 200+ collectible minion cards; ranked seasons; 6+ years of content updates,"200+ cards; competitive ranked; seasonal events. Enormous legacy content ? but player base has collapsed (peak 2,342 ? now 185 concurrent).",None effective in 2025 ? F2P death spiral: low players ? broken matchmaking ? fewer players. High legacy review count is misleading.
