Genre,Game,Year,Revenue,Review,Team size,Art style,Feature,Scope,Content,Replayability,Tier
Roguelike Deckbuilder,Roguebook,2021,$500K est.,"3,948",Team ~10 (Abrakam; Richard Garfield co-design),Bright fantasy illustration; high-quality painted card art; vibrant hero designs; CCG quality,Map exploration + dual hero deckbuilding + gem enhancement; 500+ cards; unique map reveal mechanic,5–8hr per run; 4 heroes; 3 acts; gem crafting; expansion launched,Rich duo hero combos; Garfield credibility; 'Great if you've exhausted StS',Moderate — hero pairing good but combos feel samey long-term,MID
Roguelike Deckbuilder,SpellRogue,2025,$350K est.,"1,526",Team ~4 (2Tons),Bright 3D isometric; vibrant colorful fantasy; cartoony characters; strong visual identity,Dice-based spell augmentation + deckbuilding; 100+ spells; elemental combos; 3+ characters,3–5hr per run; 3+ characters; multiple biomes; full release 2025 from EA,Fresh dice mechanic differentiates from StS clones; 'One of 2025's pleasant surprises',Good — dice variance + spell combo space; 'Different every run',MID
Roguelike Deckbuilder,Nitro Kid,2022,$140K est.,403,Team ~5 (Koi Snowman Games),Neon cyberpunk pixel art; retro 80s palette; strong martial arts character designs,Deckbuilding + cyberpunk kung-fu combat + style meter; 100+ cards; 4 characters; 3 districts,3–5hr per run; 4 characters; 3 districts; style meter mechanic,"Solid card variety; 'Style over substance, but the style is worth it'",Moderate — decent variety; limited long-term hooks; 'Fun for 20hrs',MID
Roguelike Deckbuilder,Bramble Royale: A Meteorfall Story,2024,$20K est.,88,Solo (Slothwerks),Cute illustrated card art; nature/plant theme; charming but not visually distinctive,Grid-based card placement + deckbuilding; unique grid mechanic missed marketing moment,3–5hr per run; multiple characters; grid-based map movement,"Positive reception from players but commercial failure; 'Great game, shame no one knows it'",Moderate — grid mechanic adds variety; '95% positive but invisible',FAILURE
Roguelike Deckbuilder,Nadir: A Grimdark Deck Builder,2023,$25K est.,~180 (est.),Team ~5 (Sharkbomb Studios),"Dark grimdark illustration; medieval corruption aesthetic; high ambition, inconsistent quality",Grimdark deckbuilding + sin/virtue corruption system; multiple class routes; branching story,EA 2023; 4–6hr per run est.; multiple class builds; dark narrative,Ambitious grimdark angle; mixed execution; 'Interesting idea but rough around the edges',Low-moderate; grimdark tone limits casual replayability; niche didn't materialize,FAILURE
Roguelike Deckbuilder,Herald of the Fog,2022,$8K est.,~30 (est.),Solo,Lovecraftian horror aesthetic; dark misty atmosphere; low production value art,Lovecraftian deckbuilding; horror-themed cards; sanity mechanic; limited card pool,2–3hr per run est.; limited content at launch; niche horror theme,"Thin content layer; 'Good idea, limited execution'; no post-launch support",Low — limited card variety; no community for build discovery,FAILURE
Roguelike Deckbuilder,Lovecrafting,2023,$6K est.,~35 (est.),Solo,Standard Lovecraftian aesthetic; purple/dark palette; lacks visual hook to stand out,Lovecraftian card deckbuilding; eldritch encounter system; limited differentiation,2–4hr per run est.; small card pool; EA release; minimal post-launch,Thin content at launch; subject of indie market analysis as genre saturation cautionary tale,Very low — few cards; insufficient hooks for repeat plays,FAILURE
Roguelike Deckbuilder,Mahokenshi,2023,$100K est.,457,Team ~8 (Game Source Studio),Stylized samurai illustration; pastel Japanese aesthetic; cel-shaded hex map,Hex-map deckbuilding + samurai clans; multiple characters; movement + card play on hex grid,4–6hr per run; 3+ characters; hex-map movement; Mostly Positive,Decent execution but caught between genres; 'Jack of two trades' — Steam; low discovery,Moderate — hex movement variety but no strong word-of-mouth loop,FAILURE
Roguelike Deckbuilder,Runelancer,2023,$5K est.,~20 (est.),Solo,Generic fantasy pixel art; no distinct visual identity; blends into crowd,Standard deckbuilding loop; lancer/warrior theme; limited card pool,2–3hr per run est.; minimal content; very limited scope,Essentially a StS clone with a skin; no novel mechanic or art to drive discovery,Very low — generic design; no community; abandoned within months,FAILURE
Roguelike Deckbuilder,Cardaclysm: Shards of the Four,2021,$30K est.,~220 (est.),Team ~4 (Elder Games),Dark fantasy RPG aesthetic; card art inconsistent with RPG UI; mixed visual signals,Card deckbuilding + hack-and-slash hybrid; multiple playstyles; ambitious but unfocused,5–8hr per run est.; multiple character classes; hybrid combat; EA 2021,Blends genres but neither audience adopted it; 'Interesting hybrid that falls between two stools',Low-moderate — design unfocus reduces mastery loop; playerbase abandoned quickly,FAILURE
